               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.026796,            0.014702,           0.0064097,             0.84783,             0.81875,             0.84975,             0.60538,            0.029198,           0.0092048,           0.0035009,           0.0085546,           0.0085546,           0.0085546
                  75,            0.027184,            0.014859,           0.0063314,             0.83102,             0.83368,             0.84704,             0.59597,            0.029875,           0.0089121,           0.0045654,           0.0085348,           0.0085348,           0.0085348
                  76,            0.027044,            0.014639,           0.0063461,             0.80468,             0.80832,              0.8429,             0.58111,            0.030893,            0.009012,           0.0041014,            0.008515,            0.008515,            0.008515
                  77,            0.026936,            0.014445,           0.0064236,             0.82885,             0.81168,             0.84081,             0.60503,            0.028728,           0.0090613,           0.0093457,           0.0084952,           0.0084952,           0.0084952
                  78,            0.026743,            0.014609,           0.0060648,             0.82908,             0.78877,             0.81347,             0.58155,            0.029134,           0.0091922,           0.0081372,           0.0084754,           0.0084754,           0.0084754
                  79,            0.026894,            0.014437,           0.0056506,             0.84204,             0.79311,             0.81803,             0.59207,             0.02918,           0.0090183,           0.0087903,           0.0084556,           0.0084556,           0.0084556
                  80,            0.026292,            0.014472,            0.005455,             0.86471,             0.76946,             0.81301,             0.58956,            0.029479,           0.0088006,             0.01448,           0.0084358,           0.0084358,           0.0084358
                  81,            0.026249,            0.014477,           0.0058621,             0.82465,             0.80894,              0.8375,             0.59732,            0.029848,           0.0086425,           0.0073281,            0.008416,            0.008416,            0.008416
                  82,            0.026241,            0.014346,           0.0060046,             0.85675,             0.77219,             0.82469,             0.59445,            0.029573,           0.0088142,           0.0067625,           0.0083962,           0.0083962,           0.0083962
                  83,            0.025925,            0.014413,           0.0053361,             0.86989,             0.76319,             0.81926,             0.59113,             0.02935,           0.0090727,            0.010275,           0.0083764,           0.0083764,           0.0083764
